id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24980055,Our Sweet Om,121279721,Jill,,28803,35.56375,-82.48494,Private room,46,1,61,2019-11-10,3.34,1,182
24984793,The Sanctuary - Asheville,14891775,Eliza,,28804,35.61683,-82.56349,Private room,65,1,52,2019-11-10,2.79,1,89
25013010,Downtown Getaway + Modern Bungalow / FRONT SUITE,7150495,Wren,,28801,35.60438,-82.55598,Private room,71,1,70,2019-11-07,4.02,2,348
25045172,Walk to Town in Historic West Asheville,42391889,Michael,,28806,35.57908,-82.60301,Entire home/apt,119,2,60,2019-11-18,3.27,1,17
25068792,Family Getaway - Close to Downtown!,27018695,Lindsey,,28804,35.63581,-82.61554,Entire home/apt,250,2,91,2019-11-24,4.95,1,67
25079309,(Awesome) Pretty-Good Space --#1,16668128,Diane,,28805,35.59501,-82.50891,Private room,41,1,12,2019-06-30,0.66,3,60
25102981,Spacious and Private Guest Space Centrally Located,135197582,Tracy,,28805,35.609,-82.50385,Private room,58,1,2,2019-11-24,2,1,162
25109693,The Bluebird Getaway,16233515,Jessica,,28806,35.61754,-82.57974,Entire home/apt,35,2,29,2019-11-10,4.46,4,0
25111932,Cozy Modern Camper & Canoe- Close to DT and Hiking,187672,Janie,,28805,35.58303,-82.51212,Entire home/apt,70,1,25,2019-11-03,1.44,1,1
25124933,(Awesome) Pretty-Good Space -- #2,16668128,Diane,,28805,35.59608,-82.50789,Shared room,24,1,19,2019-06-30,1.03,3,0
25128396,(Awesome) Pretty-Good Space - #3 (1&2 combined),16668128,Diane,,28805,35.59512,-82.50898,Private room,50,1,4,2019-07-28,0.22,3,0
25132222,"Light, open home w/ chef's kitchen, screened porch",20537619,Jane,,28805,35.59768,-82.48334,Entire home/apt,399,2,35,2019-11-25,2.22,4,76
25135375,"Luxurious, private room close to everything.",20537619,Jane,,28805,35.5982,-82.48194,Private room,125,2,4,2018-11-11,0.22,4,0
25135803,80 LEX: APARTMENT 202 : ICONIC DOWNTOWN LOCATION,181480147,Andrew,,28801,35.59666,-82.55459,Entire home/apt,250,3,67,2019-11-24,3.65,5,340
25138871,The Baying Hound Campground {1 of 4},151279507,Bobby And Amanda,,28806,35.61172,-82.60327,Entire home/apt,17,1,29,2019-11-11,1.58,10,90
25181137,Craft Beer Home - Free Kegerator of Local AVL Beer,109638953,Guy,,28806,35.59964,-82.62606,Entire home/apt,150,2,100,2019-11-17,5.55,2,303
25212461,Entire guest suite private entrance close to all !,190499734,Kelly,,28803,35.53794,-82.51435,Private room,129,2,49,2019-11-10,2.84,1,181
25236572,Hillside House,6241761,Kelly,,28801,35.60579,-82.56222,Entire home/apt,180,1,10,2019-10-13,0.58,1,1
25251626,Honey's Place ✵ Explore DT• River Arts • Biltmore✵,5656589,Lisa,,28804,35.62883,-82.59316,Entire home/apt,115,1,143,2019-11-25,7.89,1,321
25281090,Very Special Downtown Asheville Loft,3680754,Betsy,,28801,35.59572,-82.5542,Entire home/apt,240,3,1,2019-03-10,0.11,1,333
25286041,Convenient Bunk Bed and Bath Near Downtown,21698105,Svitlana,,28803,35.56074,-82.50586,Private room,60,1,80,2019-11-10,4.47,2,30
25288773,The Woodland House,96187307,Steve,,28804,35.64791,-82.49816,Entire home/apt,500,1,27,2019-11-11,1.55,28,7
25309332,Modern 2BR Near Downtown,149601167,TurnKey Vacation Rentals,,28804,35.63555,-82.59263,Entire home/apt,52,2,10,2019-08-18,0.56,26,348
25318023,West AVL Urban Jungle,191220730,Jen,,28806,35.57918,-82.59593,Entire home/apt,129,3,22,2019-11-10,1.30,1,41
25322676,West AVL Landing Pad,57560438,Leslie,,28806,35.59083,-82.58542,Private room,50,2,95,2019-11-17,5.24,1,122
25337854,Town & Country 3BR w/ Huge Lawn,149601167,TurnKey Vacation Rentals,,28805,35.61372,-82.48171,Entire home/apt,123,2,4,2019-07-10,0.27,26,26
25366645,FernWood *forest retreat* sleeps 10,184144287,Joy,,28715,35.48784,-82.6693,Entire home/apt,150,2,34,2019-11-24,1.93,1,14
25398902,TreeTop ReTREAT-Stunning Views! 5 m to Grv Prk Inn,16181230,Shereen,,28804,35.6209,-82.56248,Entire home/apt,149,2,67,2019-11-17,3.69,1,75
